"","latitud","provincia","altitud","indicativo","nombre","indsinop","longitud","grados_lat","minutos_lat","segundos_lat","orient_lat","latitud_dec","grados_lon","minutos_lon","segundos_lon","orient_lon","longitud_dec"
"218","391105N","VALENCIA","12","8325X","POLINYÀ DE XÚQUER","08287","002219W",39,11,5,"N",39.1847222222222,0,22,19,"W",-0.371944444444444
"219","393432N","VALENCIA","758","8309X","UTIEL","08281","011441W",39,34,32,"N",39.5755555555556,1,14,41,"W",-1.24472222222222
"220","392906N","VALENCIA","56","8414A","VALENCIA AEROPUERTO","08284","002829W",39,29,6,"N",39.485,0,28,29,"W",-0.474722222222222
"221","392850N","VALENCIA","11","8416Y","VALÈNCIA, VIVEROS","08285","002159W",39,28,50,"N",39.4805555555556,0,21,59,"W",-0.366388888888889
"222","392850N","VALENCIA","11","8416","VALÈNCIA","08285","002159W",39,28,50,"N",39.4805555555556,0,21,59,"W",-0.366388888888889
"223","390006N","VALENCIA","88","8293X","XÀTIVA","08290","003125W",39,0,6,"N",39.0016666666667,0,31,25,"W",-0.523611111111111
"224","425255N","ARABA/ALAVA","513","9091O","FORONDA-TXOKIZA","08080","024406W",42,52,55,"N",42.8819444444444,2,44,6,"W",-2.735
"225","425059N","ARABA/ALAVA","521","9087","VITORIA AERÓDROMO","","023922W",42,50,59,"N",42.8497222222222,2,39,22,"W",-2.65611111111111
"226","425219N","ARABA/ALAVA","513","9091R","VITORIA GASTEIZ AEROPUERTO","08080","024358W",42,52,19,"N",42.8719444444444,2,43,58,"W",-2.73277777777778
"227","422516N","BURGOS","820","9111","BELORADO","08077","031013W",42,25,16,"N",42.4211111111111,3,10,13,"W",-3.17027777777778
"228","425512N","BURGOS","580","9051","MEDINA DE POMAR","08063","032858W",42,55,12,"N",42.92,3,28,58,"W",-3.48277777777778
"229","425931N","CANTABRIA","870","9001D","REINOSA","08032","040938W",42,59,31,"N",42.9919444444444,4,9,38,"W",-4.16055555555556
"230","424823N","CANTABRIA","720","9019B","VALDERREDIBLE, POLIENTES   ","08033","035602W",42,48,23,"N",42.8063888888889,3,56,2,"W",-3.93388888888889
"231","402955N","CASTELLON","1220","9563X","CASTELLFORT","08237","001112W",40,29,55,"N",40.4986111111111,0,11,12,"W",-0.186666666666667
"232","421957N","GIRONA","1703","9585","LA MOLINA","08117","015622E",42,19,57,"N",42.3325,1,56,22,"E",1.93944444444444
"233","424232N","HUESCA","1040","9208E","ARAGÜÉS DEL PUERTO","08095","004023W",42,42,32,"N",42.7088888888889,0,40,23,"W",-0.673055555555556
"234","423748N","HUESCA","992","9784P","BIELSA","08103","001329E",42,37,48,"N",42.63,0,13,29,"E",0.224722222222222
"235","420504N","HUESCA","546","9898","HUESCA AEROPUERTO","08094","001932W",42,5,4,"N",42.0844444444444,0,19,32,"W",-0.325555555555556
"236","423444N","HUESCA","823","9201K","JACA","08091","003249W",42,34,44,"N",42.5788888888889,0,32,49,"W",-0.546944444444444
"237","423736N","HUESCA","1020","9814A","TORLA","08101","000642W",42,37,36,"N",42.6266666666667,0,6,42,"W",-0.111666666666667
"238","422708N","LA RIOJA","353","9170","LOGROÑO AEROPUERTO","08084","021952W",42,27,8,"N",42.4522222222222,2,19,52,"W",-2.33111111111111
"239","422117N","LLEIDA","677","9619","LA SEU D'URGELL","08115","012747E",42,21,17,"N",42.3547222222222,1,27,47,"E",1.46305555555556
"240","413702N","LLEIDA","199","9771","LLEIDA, OBSERVATORIO","","003716E",41,37,2,"N",41.6172222222222,0,37,16,"E",0.621111111111111
"241","413734N","LLEIDA","185","9771C","LLEIDA","08171","003553E",41,37,34,"N",41.6261111111111,0,35,53,"E",0.598055555555556
"242","424201N","LLEIDA","1161","9990X","NAUT ARAN, ARTIES ","08107","005237E",42,42,1,"N",42.7002777777778,0,52,37,"E",0.876944444444445
"243","421219N","LLEIDA","807","9698U","TALARN","08112","005155E",42,12,19,"N",42.2052777777778,0,51,55,"E",0.865277777777778
"244","413902N","LLEIDA","388","9720X","TÀRREGA","08173","010858E",41,39,2,"N",41.6505555555556,1,8,58,"E",1.14944444444444
"245","424634N","NAVARRA","572","9263X","ARANGUREN, ILUNDAIN  ","08089","013157W",42,46,34,"N",42.7761111111111,1,31,57,"W",-1.5325
"246","421155N","NAVARRA","295","9294E","BARDENAS REALES, BASE AÉREA ","08087","012831W",42,11,55,"N",42.1986111111111,1,28,31,"W",-1.47527777777778
"247","421225N","NAVARRA","268","9283X","CADREITA","08153","014241W",42,12,25,"N",42.2069444444444,1,42,41,"W",-1.71138888888889
"248","424637N","NAVARRA","459","9263D","PAMPLONA AEROPUERTO","08085","013900W",42,46,37,"N",42.7769444444444,1,39,0,"W",-1.65
"249","424904N","NAVARRA","450","9262","PAMPLONA","","013818W",42,49,4,"N",42.8177777777778,1,38,18,"W",-1.63833333333333
"250","404913N","TARRAGONA","50","9981A","ESTACIÓN DE TORTOSA (ROQUETES)","08238","002936E",40,49,13,"N",40.8202777777778,0,29,36,"E",0.493333333333333
"251","404157N","TARRAGONA","1","9987P","SANT JAUME D'ENVEJA","08240","004836E",40,41,57,"N",40.6991666666667,0,48,36,"E",0.81
"252","410329N","TERUEL","334","9573X","ALCAÑIZ","08164","000830W",41,3,29,"N",41.0580555555556,0,8,30,"W",-0.141666666666667
"253","405154N","TERUEL","932","9381","CALAMOCHA, AERÓDROMO","","011818W",40,51,54,"N",40.865,1,18,18,"W",-1.305
"254","405534N","TERUEL","890","9381I","CALAMOCHA","08233","011736W",40,55,34,"N",40.9261111111111,1,17,36,"W",-1.29333333333333
"255","405648N","TERUEL","466","9569A","CALANDA","08166","001416W",40,56,48,"N",40.9466666666667,0,14,16,"W",-0.237777777777778
"256","413121N","ZARAGOZA","357","9576C","BUJARALOZ","08165","001028W",41,31,21,"N",41.5225,0,10,28,"W",-0.174444444444444
"257","411952N","ZARAGOZA","582","9394X","CALATAYUD","08156","013843W",41,19,52,"N",41.3311111111111,1,38,43,"W",-1.64527777777778
"258","410652N","ZARAGOZA","779","9390","DAROCA","08157","012436W",41,6,52,"N",41.1144444444444,1,24,36,"W",-1.41
