"","latitud","id_old","url","latitud_dec","altitud","capital","num_hab","zona_comarcal","destacada","nombre","longitud_dec","id","longitud"
"5924","42º40'7.277772""","50678","salvatierra-de-esca-id50232","42.66868827","587","Salvatierra de Esca","211","625001","0","Salvatierra de Esca","-1.00526542","50232","-1º0'18.955512"""
"5925","39º18'5.507928""","10644","salvatierra-de-santiago-id10163","39.30152998","437","Salvatierra de Santiago","251","701003","0","Salvatierra de Santiago","-6.03513340","10163","-6º2'6.48024"""
"5926","40º35'18.261024""","37516","salvatierra-de-tormes-id37277","40.58840584","904","Salvatierra de Tormes","62","673701","0","Salvatierra de Tormes","-5.59798103","37277","-5º35'52.731708"""
"5927","38º29'26.378808""","06580","salvatierra-de-los-barros-id06117","38.49066078","619","Salvatierra de los Barros","1721","700603","0","Salvatierra de los Barros","-6.68445132","06117","-6º41'4.024752"""
"5928","42º51'0.08154""","01470","salvatierra-agurain-id01051","42.85002265","605","Agurain/Salvatierra","4952","750102","1","Salvatierra/Agurain","-2.38874391","01051","-2º23'19.478076"""
"5929","40º25'3.642924""","12475","salzadella-la-id12098","40.41767859","338","Salzadella, la","801","771204","0","Salzadella, la","0.17517747","12098","0º10'30.638892"""
"5930","42º12'43.963776""","25680","salas-de-pallars-id25190","42.21221216","571","Salàs de Pallars","365","692502","0","Salàs de Pallars","0.93210340","25190","0º55'55.57224"""
"5931","42º34'2.467092""","01480","samaniego-id01052","42.56735197","571","Samaniego","290","750103","0","Samaniego","-2.67904862","01052","-2º40'44.575032"""
"5932","41º15'33.432804""","40640","samboal-id40176","41.25928689","794","Samboal","488","674001","0","Samboal","-4.41920740","40176","-4º25'9.14664"""
"5933","41º40'21.765648""","49513","samir-de-los-canos-id49184","41.67271268","788","Samir de los Caños","190","674902","0","Samir de los Caños","-6.16406886","49184","-6º9'50.647896"""
"5934","42º43'56.695908""","27540","samos-id27055","42.73241553","528","Samos","1458","712703","0","Samos","-7.32570283","27055","-7º19'32.530188"""
"5935","41º11'24.971748""","44716","samper-de-calanda-id44205","41.19026993","255","Samper de Calanda","861","624403","0","Samper de Calanda","-0.39017017","44205","-0º23'24.612612"""
"5936","41º14'2.38758""","50681","samper-del-salz-id50233","41.23399655","548","Samper del Salz","106","625002","0","Samper del Salz","-0.82724077","50233","-0º49'38.066772"""
"5937","42º19'55.678656""","31642","san-adrian-id31215","42.33213296","311","San Adrián","6216","743104","1","San Adrián","-1.93482308","31215","-1º56'5.363088"""
"5938","42º16'25.879188""","09614","san-adrian-de-juarros-id09335","42.27385533","1041","San Adrián de Juarros","85","670905","0","San Adrián de Juarros","-3.47606990","09335","-3º28'33.85164"""
"5939","42º7'48.04554""","24548","san-adrian-del-valle-id24141","42.13001265","732","San Adrián del Valle","107","672403","0","San Adrián del Valle","-5.72781917","24141","-5º43'40.149012"""
"5940","40º3'35.606304""","44720","san-agustin-id44206","40.05989064","965","San Agustín","141","624402","0","San Agustín","-0.69288965","44206","-0º41'34.40274"""
"5941","40º40'44.180904""","28625","san-agustin-del-guadalix-id28129","40.67893914","667","San Agustín del Guadalix","12953","722801","0","San Agustín del Guadalix","-3.61743114","28129","-3º37'2.752104"""
"5942","41º53'11.079204""","49516","san-agustin-del-pozo-id49185","41.88641089","692","San Agustín del Pozo","191","674902","0","San Agustín del Pozo","-5.59388829","49185","-5º35'37.997844"""
"5943","42º22'26.763024""","32720","san-amaro-id32074","42.37410084","476","San Amaro","1180","713202","0","San Amaro","-8.07138316","32074","-8º4'16.979376"""
"5944","40º59'57.938784""","19645","san-andres-del-congosto-id19248","40.99942744","861","San Andrés del Congosto","86","681903","0","San Andrés del Congosto","-3.02658482","19248","-3º1'35.705352"""
"5945","42º36'40.222332""","24552","san-andres-del-rabanedo-id24142","42.61117287","849","San Andrés del Rabanedo","31741","672403","1","San Andrés del Rabanedo","-5.61548243","24142","-5º36'55.736748"""
"5946","40º38'16.975968""","19648","san-andres-del-rey-id19249","40.63804888","1016","San Andrés del Rey","36","681903","0","San Andrés del Rey","-2.82063857","19249","-2º49'14.298852"""
"5947","28º47'49.562808""","38340","san-andres-y-sauces-sauces-los-id38033","28.79710078","0","Sauces, Los","4378","659303","0","San Andrés y Sauces","-17.75854758","38033","-17º45'30.771288"""
"5948","39º33'41.17572""","46664","san-antonio-de-benageber-id46903","39.56143770","121","San Antonio de Benagéber","7676","774602","0","San Antonio de Benagéber","-0.50005481","46903","-0º30'0.197316"""
"5949","42º29'49.895088""","26630","san-asensio-id26129","42.49719308","530","San Asensio","1190","762601","0","San Asensio","-2.74969065","26129","-2º44'58.88634"""
"5950","28º59'59.525772""","35150","san-bartolome-id35018","28.99986827","263","San Bartolomé","18689","659101","1","San Bartolomé","-13.61201137","35018","-13º36'43.240932"""
"5951","40º24'29.829168""","05573","san-bartolome-de-bejar-id05199","40.40828588","1114","San Bartolomé de Béjar","44","670502","0","San Bartolomé de Béjar","-5.66269263","05199","-5º39'45.693468"""
"5952","40º29'34.351044""","05576","san-bartolome-de-corneja-id05200","40.49287529","991","San Bartolomé de Corneja","59","670502","0","San Bartolomé de Corneja","-5.38525270","05200","-5º23'6.90972"""
"5953","40º32'35.47266""","05579","san-bartolome-de-pinares-id05201","40.54318685","1039","San Bartolomé de Pinares","599","670502","0","San Bartolomé de Pinares","-4.54007894","05201","-4º32'24.284184"""
"5954","27º55'26.390208""","35160","san-bartolome-de-tirajana-id35019","27.92399728","842","San Bartolomé de Tirajana","54377","659004","1","San Bartolomé de Tirajana","-15.57142263","35019","-15º34'17.121468"""
"5955","37º26'47.028804""","21620","san-bartolome-de-la-torre-id21063","37.44639689","128","San Bartolomé de la Torre","3658","612102","0","San Bartolomé de la Torre","-7.10679490","21063","-7º6'24.46164"""
"5956","39º49'48.033408""","45596","san-bartolome-de-las-abiertas-id45150","39.83000928","552","San Bartolomé de las Abiertas","508","684502","0","San Bartolomé de las Abiertas","-4.71981077","45150","-4º43'11.318772"""
"5957","38º50'36.758904""","13730","san-carlos-del-valle-id13074","38.84354414","754","San Carlos del Valle","1211","681302","0","San Carlos del Valle","-3.24211272","13074","-3º14'31.605792"""
"5958","42º12'4.770648""","34536","san-cebrian-de-campos-id34159","42.20132518","790","San Cebrián de Campos","459","673402","0","San Cebrián de Campos","-4.53069082","34159","-4º31'50.486952"""
"5959","41º42'22.934664""","49519","san-cebrian-de-castro-id49186","41.70637074","686","San Cebrián de Castro","279","674902","0","San Cebrián de Castro","-5.75489111","49186","-5º45'17.607996"""
"5960","41º40'51.151404""","47564","san-cebrian-de-mazote-id47142","41.68087539","764","San Cebrián de Mazote","186","674701","0","San Cebrián de Mazote","-5.14712103","47142","-5º8'49.635708"""
"5961","42º53'30.490224""","34540","san-cebrian-de-muda-id34160","42.89180284","1042","San Cebrián de Mudá","161","673401","0","San Cebrián de Mudá","-4.38634541","34160","-4º23'10.843476"""
"5962","42º17'48.030288""","32730","san-cibrao-das-vinas-id32075","42.29667508","259","San Cibrao das Viñas","4972","713202","1","San Cibrao das Viñas","-7.87146135","32075","-7º52'17.26086"""
